id,name,owner,repository,repository_url,homepage_url,primary_category,project_type,official_status,score,stars,forks,open_issues,primary_language,license,checked_at
ai-naymul/BrowserPilot,BrowserPilot,ai-naymul,ai-naymul/BrowserPilot,https://github.com/ai-naymul/BrowserPilot,,G.44,application,community,43.4,167,29,0,Python,,2026-07-07T18:45:29.195112+00:00
ENTERPILOT/GoModel,GoModel,ENTERPILOT,ENTERPILOT/GoModel,https://github.com/ENTERPILOT/GoModel,,H.57,library,community,43.4,988,69,0,Go,,2026-07-07T18:45:29.195112+00:00
fdueblab/Micro-Agent,Micro-Agent,fdueblab,fdueblab/Micro-Agent,https://github.com/fdueblab/Micro-Agent,,F.38,library,community,43.3,107,18,0,Python,,2026-07-07T18:45:29.195112+00:00
langchain-ai/react-agent,react-agent,langchain-ai,langchain-ai/react-agent,https://github.com/langchain-ai/react-agent,,B.8,framework,community,43.2,791,693,0,Python,,2026-07-07T18:45:29.195112+00:00
Spectral-Finance/lux,lux,Spectral-Finance,Spectral-Finance/lux,https://github.com/Spectral-Finance/lux,,J.77,template,community,43.2,123,122,0,Elixir,,2026-07-07T18:45:29.195112+00:00
apache/skywalking-go,skywalking-go,apache,apache/skywalking-go,https://github.com/apache/skywalking-go,,H.56,template,community,43.2,359,117,0,Go,,2026-07-07T18:45:29.195112+00:00
jonwiggins/optio,optio,jonwiggins,jonwiggins/optio,https://github.com/jonwiggins/optio,,J.75,template,community,43.2,996,115,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
HeyNina101/ai-agent-starter-kit,ai-agent-starter-kit,HeyNina101,HeyNina101/ai-agent-starter-kit,https://github.com/HeyNina101/ai-agent-starter-kit,,A.1,tutorial,community,43.2,387,90,0,,,2026-07-07T18:45:29.195112+00:00
e2b-dev/llm-code-interpreter,llm-code-interpreter,e2b-dev,e2b-dev/llm-code-interpreter,https://github.com/e2b-dev/llm-code-interpreter,,C.13,application,community,43.1,481,44,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
alphadl/AdaRubrics,AdaRubrics,alphadl,alphadl/AdaRubrics,https://github.com/alphadl/AdaRubrics,,H.55,evaluation framework,community,43.1,341,36,0,Python,,2026-07-07T18:45:29.195112+00:00
OpenBrowserAI/openbrowser,openbrowser,OpenBrowserAI,OpenBrowserAI/openbrowser,https://github.com/OpenBrowserAI/openbrowser,,G.44,application,community,43.0,55,14,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
microsoft/lisa,lisa,microsoft,microsoft/lisa,https://github.com/microsoft/lisa,,H.55,template,community,42.9,331,237,0,Python,,2026-07-07T18:45:29.195112+00:00
openJiuwen-ai/jiuwenswarm,jiuwenswarm,openJiuwen-ai,openJiuwen-ai/jiuwenswarm,https://github.com/openJiuwen-ai/jiuwenswarm,,J.77,template,community,42.9,999,203,0,Python,,2026-07-07T18:45:29.195112+00:00
nyroway/nyro,nyro,nyroway,nyroway/nyro,https://github.com/nyroway/nyro,,D.24,gateway,community,42.9,177,27,0,Rust,,2026-07-07T18:45:29.195112+00:00
Cre4T3Tiv3/ai-agents-reality-check,ai-agents-reality-check,Cre4T3Tiv3,Cre4T3Tiv3/ai-agents-reality-check,https://github.com/Cre4T3Tiv3/ai-agents-reality-check,,H.55,evaluation framework,community,42.9,61,0,0,Python,,2026-07-07T18:45:29.195112+00:00
evaleval/every_eval_ever,every_eval_ever,evaleval,evaleval/every_eval_ever,https://github.com/evaleval/every_eval_ever,,H.55,evaluation framework,community,42.9,90,42,0,Python,,2026-07-07T18:45:29.195112+00:00
MasuRii/pi-rtk-optimizer,pi-rtk-optimizer,MasuRii,MasuRii/pi-rtk-optimizer,https://github.com/MasuRii/pi-rtk-optimizer,,C.13,application,community,42.8,187,21,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
microsoft/teams-sdk,teams-sdk,microsoft,microsoft/teams-sdk,https://github.com/microsoft/teams-sdk,,J.81,template,community,42.7,714,267,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
shenjianan97/persistent-agent-runtime,persistent-agent-runtime,shenjianan97,shenjianan97/persistent-agent-runtime,https://github.com/shenjianan97/persistent-agent-runtime,,B.6,framework,community,42.7,195,15,0,Python,,2026-07-07T18:45:29.195112+00:00
CoderOneHQ/bomberland,bomberland,CoderOneHQ,CoderOneHQ/bomberland,https://github.com/CoderOneHQ/bomberland,,J.81,template,community,42.7,127,40,0,C++,,2026-07-07T18:45:29.195112+00:00
cohere-ai/cohere-terrarium,cohere-terrarium,cohere-ai,cohere-ai/cohere-terrarium,https://github.com/cohere-ai/cohere-terrarium,,C.13,application,community,42.7,312,55,0,Python,,2026-07-07T18:45:29.195112+00:00
neo4j-labs/create-context-graph,create-context-graph,neo4j-labs,neo4j-labs/create-context-graph,https://github.com/neo4j-labs/create-context-graph,,B.6,template,community,42.7,672,95,0,Python,,2026-07-07T18:45:29.195112+00:00
instavm/clickclickclick,clickclickclick,instavm,instavm/clickclickclick,https://github.com/instavm/clickclickclick,,G.44,application,community,42.7,692,85,0,Python,,2026-07-07T18:45:29.195112+00:00
huggingface/optimum-habana,optimum-habana,huggingface,huggingface/optimum-habana,https://github.com/huggingface/optimum-habana,,I.65,template,community,42.6,212,274,0,Python,,2026-07-07T18:45:29.195112+00:00
vdaubry/bottega,bottega,vdaubry,vdaubry/bottega,https://github.com/vdaubry/bottega,,C.13,application,community,42.6,80,7,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
vinhnx/VTCode,VTCode,vinhnx,vinhnx/VTCode,https://github.com/vinhnx/VTCode,,F.43,template,community,42.6,734,64,0,Rust,,2026-07-07T18:45:29.195112+00:00
suitedaces/computer-agent,computer-agent,suitedaces,suitedaces/computer-agent,https://github.com/suitedaces/computer-agent,,G.44,application,community,42.6,666,81,0,Rust,,2026-07-07T18:45:29.195112+00:00
msfirebird/claw-lens,claw-lens,msfirebird,msfirebird/claw-lens,https://github.com/msfirebird/claw-lens,,H.53,observability platform,community,42.6,504,40,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
run-llama/llama-agents,llama-agents,run-llama,run-llama/llama-agents,https://github.com/run-llama/llama-agents,,J.81,template,community,42.6,420,72,0,Python,,2026-07-07T18:45:29.195112+00:00
Necmttn/ax,ax,Necmttn,Necmttn/ax,https://github.com/Necmttn/ax,,H.53,observability platform,community,42.6,78,8,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
langchain-ai/data-enrichment,data-enrichment,langchain-ai,langchain-ai/data-enrichment,https://github.com/langchain-ai/data-enrichment,,B.8,framework,community,42.5,233,59,0,Jupyter Notebook,,2026-07-07T18:45:29.195112+00:00
TaewoooPark/Agent-Blackbox,Agent-Blackbox,TaewoooPark,TaewoooPark/Agent-Blackbox,https://github.com/TaewoooPark/Agent-Blackbox,,C.13,application,community,42.5,45,6,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
huytieu/COG-second-brain,COG-second-brain,huytieu,huytieu/COG-second-brain,https://github.com/huytieu/COG-second-brain,,E.29,template,community,42.5,582,76,0,Shell,,2026-07-07T18:45:29.195112+00:00
jbexta/AgentPilot,AgentPilot,jbexta,jbexta/AgentPilot,https://github.com/jbexta/AgentPilot,,E.35,library,community,42.5,559,80,0,Python,,2026-07-07T18:45:29.195112+00:00
anthropics/life-sciences,life-sciences,anthropics,anthropics/life-sciences,https://github.com/anthropics/life-sciences,,D.20,template,community,42.5,515,98,0,Python,,2026-07-07T18:45:29.195112+00:00
